W,cos_th,cs,dcs
1.625,-0.1,79.0523,15.4903
1.625,0,60.463,12.3692
1.625,0.1,53.492,11.2242
1.625,0.2,82.3468,15.6745
1.625,0.3,85.4503,15.2811
1.625,0.4,80.4051,14.4318
1.625,0.5,77.9382,15.5989
1.625,0.6,91.0048,18.9308
1.625,0.7,115.562,26.5231
1.635,-0.5,65.54,14.8605
1.635,-0.4,73.1794,14.1508
1.635,-0.3,87.5511,16.2077
1.635,-0.2,74.4686,14.245
1.635,-0.1,67.2111,12.6183
1.635,0,75.7578,12.327
1.635,0.1,84.6227,12.9269
1.635,0.2,97.2914,14.3996
1.635,0.3,88.5538,14.4821
1.635,0.4,100.188,18.0981
1.635,0.5,89.0631,15.9978
1.635,0.6,83.2062,13.7779
1.635,0.7,94.8086,14.885
1.635,0.8,74.7869,19.0229
1.645,-0.5,91.6096,16.869
1.645,-0.4,80.1504,13.8669
1.645,-0.3,81.6306,14.4609
1.645,-0.2,91.0207,16.1602
1.645,-0.1,65.6196,12.6837
1.645,0,101.063,15.3268
1.645,0.1,105.504,14.8095
1.645,0.2,111.997,16.7077
1.645,0.3,134.438,22.0733
1.645,0.4,107.652,15.711
1.645,0.5,111.504,15.2103
1.645,0.6,165.171,21.3804
1.645,0.7,162.163,21.9879
1.645,0.8,172.206,24.9457
1.655,-0.1,101.716,15.074
1.655,0,111.886,15.3686
1.655,0.1,129.632,16.8768
1.655,0.2,144.051,21.6798
1.655,0.3,151.006,20.9786
1.655,0.4,138.528,16.7892
1.655,0.5,157.388,18.9753
1.655,0.6,162.036,19.9014
1.655,0.7,149.446,19.2163
1.655,0.8,179.766,24.2111
1.665,0,143.446,18.8254
1.665,0.1,166.778,21.5752
1.665,0.2,161.813,25.9913
1.665,0.3,167.606,21.311
1.665,0.4,161.017,19.3831
1.665,0.5,174.816,21.3858
1.665,0.6,191.336,23.5252
1.665,0.7,211.549,26.6852
1.665,0.8,203.702,27.2471
1.675,-0.5,167.383,27.5513
1.675,-0.4,176.391,23.2427
1.675,-0.3,157.309,20.696
1.675,-0.2,177.171,22.6437
1.675,-0.1,187.405,23.5299
1.675,0,166.285,19.1359
1.675,0.1,186.482,21.3953
1.675,0.2,182.455,25.6303
1.675,0.3,217.708,24.3124
1.675,0.4,204.387,22.6205
1.675,0.5,214.477,24.7495
1.675,0.6,226.891,26.1668
1.675,0.7,255.062,30.2598
1.675,0.8,260.553,31.7229
1.685,-0.5,151.85,20.6577
1.685,-0.4,153.441,19.3721
1.685,-0.3,188.217,22.7416
1.685,-0.2,194.646,23.4971
1.685,-0.1,203.862,23.2547
1.685,0,177.585,19.8553
1.685,0.1,194.615,21.3591
1.685,0.2,205.565,25.0913
1.685,0.3,204.737,22.3871
1.685,0.4,224.918,24.2763
1.685,0.5,224.042,24.3544
1.685,0.6,260.027,29.0513
1.685,0.7,305.371,34.2898
1.685,0.8,289.614,33.6862
1.695,-0.5,131.796,18.4696
1.695,-0.4,151.006,71.3111
1.695,-0.3,173.208,19.642
1.695,-0.2,164.375,18.5857
1.695,-0.1,170.55,19.3102
1.695,0,163.102,18.141
1.695,0.1,221.432,23.8341
1.695,0.2,203.432,23.9907
1.695,0.3,228.594,24.3277
1.695,0.4,251.767,26.6498
1.695,0.5,255.062,27.0081
1.695,0.6,270.532,28.9072
1.695,0.7,300.357,35.3396
1.695,0.8,311.403,49.0114
1.705,-0.5,168.816,64.9704
1.705,-0.4,155.574,68.8796
1.705,-0.3,149.224,20.1097
1.705,-0.2,163.579,29.7989
1.705,-0.1,179.017,21.1698
1.705,0,156.672,17.6231
1.705,0.1,204.212,22.0645
1.705,0.2,239.846,27.2146
1.705,0.3,233.512,25.0285
1.705,0.4,254.966,27.1379
1.705,0.5,271.932,28.8001
1.705,0.6,308.872,32.8784
1.705,0.7,341.021,36.4857
1.705,0.8,383.293,42.4956
1.705,0.88,418.196,53.4849
1.715,-0.5,125.255,42.869
1.715,-0.4,135.775,24.9606
1.715,-0.3,141.218,24.2932
1.715,-0.2,165.473,19.4813
1.715,-0.1,158.837,18.1591
1.715,0,158.709,18.739
1.715,0.1,211.851,22.6811
1.715,0.2,238.319,26.3412
1.715,0.3,241.358,25.459
1.715,0.4,263.019,27.7102
1.715,0.5,305.498,31.9324
1.715,0.6,324.947,33.9924
1.715,0.7,334.591,36.4466
1.715,0.8,415.776,50.3834
1.715,0.88,418.387,51.5575
1.725,-0.5,101.445,36.6375
1.725,-0.4,115.324,17.2024
1.725,-0.3,126.035,15.9579
1.725,-0.2,134.9,16.5003
1.725,-0.1,158.789,19.48
1.725,0,163.325,18.2953
1.725,0.1,198.864,21.9851
1.725,0.2,231.109,25.6422
1.725,0.3,251.751,27.7736
1.725,0.4,278.887,29.2831
1.725,0.5,318.533,33.2221
1.725,0.6,317.705,33.2394
1.725,0.7,353.276,37.2592
1.725,0.8,417.766,46.8476
1.725,0.89,564.745,175.086
1.735,-0.4,79.6889,17.9415
1.735,-0.3,112.061,13.1472
1.735,-0.2,140.009,15.598
1.735,-0.1,153.935,18.8447
1.735,0,165.553,18.5804
1.735,0.1,194.44,20.7822
1.735,0.2,235.581,25.9718
1.735,0.3,226.971,25.3686
1.735,0.4,271.311,28.4074
1.735,0.5,316.798,32.9097
1.735,0.6,323.88,33.5709
1.735,0.7,365.356,38.1503
1.735,0.8,405.24,45.2143
1.745,-0.4,156.354,32.3299
1.745,-0.3,101.939,13.4885
1.745,-0.2,135.632,15.2063
1.745,-0.1,162.545,17.86
1.745,0,170.566,18.6828
1.745,0.1,196.047,20.9833
1.745,0.2,244.319,26.4519
1.745,0.3,230.568,24.1341
1.745,0.4,259.279,27.0165
1.745,0.5,293.004,30.5348
1.745,0.6,336.135,34.9698
1.745,0.7,343.043,36.7427
1.745,0.8,392.397,42.5693
1.745,0.89,349.663,46.8692
1.755,-0.4,112.347,17.9921
1.755,-0.3,112.538,14.3556
1.755,-0.2,143.319,17.5461
1.755,-0.1,151.993,23.3289
1.755,0,145.07,21.1498
1.755,0.1,186.259,23.086
1.755,0.2,224.281,24.6592
1.755,0.3,234.26,24.4964
1.755,0.4,249.316,26.0945
1.755,0.5,311.259,32.3593
1.755,0.6,314.124,34.1702
1.755,0.7,331.01,34.6374
1.755,0.8,372.534,40.9085
1.755,0.89,344.029,46.7402
1.765,-0.5,94.4585,23.3977
1.765,-0.4,99.5514,16.0497
1.765,-0.3,112.936,17.7328
1.765,-0.2,122.629,18.0127
1.765,-0.1,138.719,19.7466
1.765,0,154.953,16.901
1.765,0.1,183.012,19.4404
1.765,0.2,221.973,24.0158
1.765,0.3,235.215,24.4704
1.765,0.4,238.287,24.8052
1.765,0.5,269.704,28.0185
1.765,0.6,318.087,32.9996
1.765,0.7,317.116,33.5801
1.765,0.8,367.918,39.6754
1.765,0.89,422.063,61.0553
1.775,-0.5,94.8404,14.9608
1.775,-0.4,106.188,14.1646
1.775,-0.3,122.295,13.6221
1.775,-0.2,136.268,14.7639
1.775,-0.1,163.627,17.8045
1.775,0,159.266,17.291
1.775,0.1,195.49,20.8471
1.775,0.2,229.867,24.6541
1.775,0.3,241.231,25.0194
1.775,0.4,250.765,27.1815
1.775,0.5,257.99,29.7197
1.775,0.6,303.97,32.8523
1.775,0.7,334.703,38.7909
1.775,0.8,335.897,37.4606
1.785,-0.5,73.9434,20.9409
1.785,-0.4,98.1031,16.124
1.785,-0.3,117.695,16.327
1.785,-0.2,132.687,14.4278
1.785,-0.1,160.046,17.8105
1.785,0,172.683,18.5691
1.785,0.1,209.384,22.2184
1.785,0.2,230.249,24.771
1.785,0.3,206.504,22.1306
1.785,0.4,234.021,26.476
1.785,0.5,279.094,29.1016
1.785,0.6,288.102,29.8933
1.785,0.7,326.093,34.0375
1.785,0.8,327.62,35.6114
1.795,-0.6,98.692,33.098
1.795,-0.5,110.931,13.6801
1.795,-0.4,114.767,13.0857
1.795,-0.3,119.525,13.3385
1.795,-0.2,140.868,15.2681
1.795,-0.1,163.261,17.7396
1.795,0,171.33,19.454
1.795,0.1,207.379,24.1778
1.795,0.2,208.238,25.4198
1.795,0.3,231.491,24.3523
1.795,0.4,255.125,27.0934
1.795,0.5,277.216,28.802
1.795,0.6,317.673,32.7258
1.795,0.7,314.045,37.757
1.805,-0.6,104.979,29.616
1.805,-0.5,110.056,20.4907
1.805,-0.4,115.244,17.1734
1.805,-0.3,115.371,13.4961
1.805,-0.2,138.242,14.8924
1.805,-0.1,158.439,17.0455
1.805,0,174.864,18.6311
1.805,0.1,200.249,21.1724
1.805,0.2,223.66,26.3978
1.805,0.3,222.18,23.4844
1.805,0.4,255.682,26.5057
1.805,0.5,267.253,27.656
1.805,0.6,301.026,30.9502
1.805,0.7,324.692,33.5711
1.805,0.8,344.57,37.135
1.805,0.89,388.8,50.7866
1.815,-0.7,83.3972,39.5947
1.815,-0.6,102.209,17.6355
1.815,-0.5,108.082,14.5602
1.815,-0.4,122.422,13.8133
1.815,-0.3,123.632,13.7009
1.815,-0.2,144.879,15.6751
1.815,-0.1,170.041,18.4632
1.815,0,180.195,19.3848
1.815,0.1,221.082,23.6571
1.815,0.2,232.78,25.3457
1.815,0.3,231.618,24.0939
1.815,0.4,269.29,28.0223
1.815,0.5,287.338,29.8583
1.815,0.6,318.485,32.9919
1.815,0.7,335.721,34.8435
1.815,0.8,340.91,37.3518
1.815,0.89,355.886,44.5903
1.825,-0.7,79.6093,32.9195
1.825,-0.6,99.5992,15.279
1.825,-0.5,118.077,13.5685
1.825,-0.4,109.865,12.2609
1.825,-0.3,114.003,13.1994
1.825,-0.2,137.367,14.6839
1.825,-0.1,159.457,17.1873
1.825,0,176.296,18.7223
1.825,0.1,197.288,20.8925
1.825,0.2,208.445,22.0613
1.825,0.3,230.504,23.8387
1.825,0.4,249.316,25.8122
1.825,0.5,267.603,27.5941
1.825,0.6,287.593,29.508
1.825,0.7,332.459,34.2682
1.825,0.8,344.793,37.3363
1.825,0.89,367.887,46.8531
1.835,-0.6,95.5566,31.6375
1.835,-0.5,119.414,19.6183
1.835,-0.4,116.995,13.6433
1.835,-0.3,121.117,13.2786
1.835,-0.2,134.852,14.4375
1.835,-0.1,160.142,17.2568
1.835,0,175.023,18.6242
1.835,0.1,218.106,23.0629
1.835,0.2,223.692,23.5318
1.835,0.3,230.472,23.7955
1.835,0.4,247.104,25.5779
1.835,0.5,265.12,27.4499
1.835,0.6,285.715,29.3394
1.835,0.7,326.013,33.5622
1.835,0.8,359.404,38.2802
1.845,-0.7,98.9785,15.7404
1.845,-0.6,101.429,12.7076
1.845,-0.5,111.902,12.7887
1.845,-0.4,118.411,13.1269
1.845,-0.3,123.982,13.4095
1.845,-0.2,138.21,14.6646
1.845,-0.1,162.975,17.3342
1.845,0,175.293,18.4819
1.845,0.1,208.636,21.9723
1.845,0.2,215.321,22.56
1.845,0.3,239.019,24.6243
1.845,0.4,241.311,24.9486
1.845,0.5,274.049,28.1971
1.845,0.6,274.272,28.1138
1.845,0.7,301.997,31.0707
1.845,0.8,318.437,33.8861
1.845,0.89,284.33,34.7019
1.855,-0.6,110.39,13.0219
