cos_th,Q2,r_LT,dr_LT,r_TT,dr_TT
-0.7,1.8,0.62577,0.826544,-0.194052,1.26699
-0.7,2.6,0.238482,1.00339,-1.27987,2.19534
-0.7,3.45,0.266484,2.15695,22.8361,32.5494
-0.6,0,0,0,-0.415595,0.0515896
-0.6,0.65,-0.624156,0.237316,-0.0502079,0.456052
-0.6,1,56.3451,9.32048,0.240704,1.57031
-0.5,0,0,0,-0.42987,0.046275
-0.5,1.8,0.441012,1.4137,0.0988398,2.19428
-0.5,2.6,-0.304495,1.54538,-0.370472,2.7508
-0.5,3.45,-0.544971,2.67292,-0.519556,4.58393
-0.4,0,0,0,-0.367363,0.0569568
-0.3,1.8,-0.347757,0.771734,-0.222597,1.32948
-0.3,2.6,-0.385645,1.28387,0.0633821,2.05457
-0.3,3.45,-0.312602,1.8158,0.39474,3.43753
-0.2,0,0,0,-0.456129,0.0592014
-0.2,0.65,-1.11731,0.234954,-0.296989,0.400714
-0.2,1,-1.08989,0.445345,-1.5077,0.843658
-0.2,1.55,-0.724257,0.45644,0.808835,0.799419
-0.2,2.05,-0.761824,0.673232,-0.646265,1.35078
-0.2,2.55,-1.5845,1.73972,1.0811,2.76621
-0.1,0,0,0,-0.512019,0.0451039
-0.1,1.8,-0.466809,0.320504,-0.090052,0.530484
-0.1,2.6,-0.91208,0.509738,-0.0596258,0.757616
-0.1,3.45,-0.59538,0.712566,0.202518,1.42636
-1.38778E-16,0,0,0,-0.640403,0.0435431
-1.38778E-16,0.65,-0.547059,0.144602,-0.90819,0.28064
-1.38778E-16,1,-0.497676,0.232995,-0.316552,0.424809
-1.38778E-16,1.55,-0.74126,0.302965,-0.380168,0.539839
-1.38778E-16,2.05,-1.14754,0.516596,-0.38946,1.09858
-1.38778E-16,2.55,-0.681831,0.469041,-1.08403,1.0714
0.1,0,0,0,-0.685269,0.0498866
0.1,1.8,-0.400742,0.225304,-0.0605336,0.363216
0.1,2.6,-0.468734,0.310146,0.0390221,0.54266
0.1,3.45,-0.487034,0.53142,0.266405,1.06428
0.2,0,0,0,-0.603645,0.0423856
0.3,0,0,0,-0.545858,0.0424673
0.3,0.65,-0.302861,0.128621,-0.558781,0.247102
0.3,1,-0.419524,0.201238,-0.504471,0.36604
0.3,1.55,-0.475723,0.270102,-0.612236,0.482608
0.3,1.8,-0.230807,0.126426,-0.192177,0.211721
0.3,2.05,-0.54003,0.395516,-0.510715,0.851726
0.3,2.55,-0.50824,0.440728,-0.302432,0.875495
0.3,2.6,-0.457804,0.193351,-0.130552,0.322082
0.3,3.45,-1.14586,0.353109,-0.194382,0.550665
0.4,0,0,0,-0.46137,0.0366411
0.5,0,0,0,-0.381342,0.0321387
0.5,1.8,-0.193434,0.0990625,-0.283103,0.162656
0.5,2.6,-0.391117,0.14632,-0.483026,0.249541
0.5,3.45,-0.345784,0.184928,0.511533,0.319558
0.6,0,0,0,-0.358664,0.0285457
0.6,0.65,-0.371404,0.135824,-0.879486,0.249195
0.6,1,-0.352845,0.230531,-0.703974,0.378016
0.6,1.55,-0.342903,0.260499,-0.427246,0.41047
0.6,1.8,-0.0850243,0.0803793,-0.330064,0.144815
0.6,2.05,-0.531459,0.511782,-0.461478,0.978579
0.6,2.55,0.297408,0.500958,0.753931,0.811896
0.6,2.6,-0.125394,0.117915,-0.0193754,0.203094
0.6,3.45,-0.35815,0.146421,-0.420207,0.245429
0.7,0,0,0,-0.375457,0.0278306
0.8,1.8,-0.214488,0.0909362,-0.353542,0.154657
0.8,2.6,-0.272778,0.106055,-0.437652,0.176726
0.8,3.45,-0.351049,0.193938,-0.580114,0.345107
0.9,0.65,-0.556068,0.36703,-0.123201,0.51325
0.9,1,-0.1181,0.38273,0.0105081,0.546443
0.9,1.55,-0.463345,0.279755,-0.412192,0.390309
0.9,1.8,-0.126057,0.0559041,-0.0463743,0.0886284
0.9,2.05,0.0447935,0.265521,-0.0798908,0.375473
0.9,2.55,-0.706969,0.373819,-0.809946,0.670048
0.9,2.6,-0.0447674,0.0805683,-0.0720072,0.15067
0.9,3.45,0.0544885,0.137383,-0.342735,0.322183
