W,cos_th,Sigma,dSigma
1.72,-0.243039,-0.0688781,0.0433663
1.72,-0.0429403,0.057147,0.0367736
1.72,0.101883,0.139408,0.0456765
1.72,0.201462,0.234258,0.0460243
1.72,0.300495,0.222907,0.0415693
1.72,0.401233,0.247551,0.0391469
1.72,0.499833,0.266634,0.035317
1.72,0.598832,0.222231,0.0365841
1.72,0.699263,0.125248,0.0389595
1.72,0.797074,0.0857406,0.0446484
1.74,-0.442749,0.126324,0.0433757
1.74,-0.296557,0.100261,0.051492
1.74,-0.198546,0.146943,0.0421403
1.74,-0.0981023,0.209781,0.039003
1.74,-0.000383749,0.231247,0.0347199
1.74,0.100448,0.295274,0.0334757
1.74,0.202468,0.209172,0.0334197
1.74,0.30078,0.3468,0.0287004
1.74,0.401746,0.340633,0.0275196
1.74,0.500493,0.307363,0.0257933
1.74,0.600337,0.312208,0.0263179
1.74,0.699202,0.239436,0.0273902
1.74,0.796261,0.175736,0.0315479
1.76,-0.457037,0.173496,0.0330543
1.76,-0.297006,0.202945,0.0383771
1.76,-0.198592,0.181848,0.0354295
1.76,-0.0993955,0.241484,0.0314065
1.76,0.00135952,0.301932,0.0285267
1.76,0.100616,0.293964,0.0280233
1.76,0.203055,0.333139,0.0265365
1.76,0.299887,0.391642,0.0230967
1.76,0.400895,0.360759,0.0223126
1.76,0.500823,0.330589,0.0211369
1.76,0.599511,0.282808,0.0216647
1.76,0.698392,0.244795,0.021937
1.76,0.796591,0.227438,0.0255649
1.78,-0.591918,0.157954,0.0541004
1.78,-0.437134,0.191999,0.0262173
1.78,-0.297906,0.207221,0.0294745
1.78,-0.19851,0.26003,0.0257675
1.78,-0.0990676,0.255351,0.0238407
1.78,0.00152798,0.316042,0.0214823
1.78,0.0999559,0.284958,0.0202316
1.78,0.20304,0.348243,0.0195326
1.78,0.299834,0.402866,0.0177265
1.78,0.401093,0.384379,0.0174532
1.78,0.500439,0.379857,0.0161918
1.78,0.600271,0.334712,0.0158748
1.78,0.698954,0.311077,0.0163696
1.78,0.796033,0.26352,0.0186035
1.8,-0.60338,0.172569,0.0454301
1.8,-0.438646,0.209266,0.0266501
1.8,-0.298722,0.224823,0.0296642
1.8,-0.198038,0.231412,0.02693
1.8,-0.0987597,0.270422,0.025202
1.8,0.0013258,0.347781,0.0224748
1.8,0.0997637,0.368662,0.0217014
1.8,0.203434,0.347182,0.0210981
1.8,0.299955,0.370683,0.0188178
1.8,0.401392,0.341556,0.0182367
1.8,0.500758,0.367959,0.016969
1.8,0.600368,0.338224,0.0168794
1.8,0.699322,0.313391,0.0170604
1.8,0.797448,0.262473,0.0197116
1.82,-0.613868,0.176982,0.0498367
1.82,-0.439373,0.146319,0.0316509
1.82,-0.298215,0.206476,0.0353523
1.82,-0.197638,0.264583,0.033143
1.82,-0.0986129,0.289852,0.0291879
1.82,0.0013216,0.250573,0.026966
1.82,0.0990967,0.285254,0.025646
1.82,0.203137,0.35411,0.0242568
1.82,0.30013,0.343699,0.0225359
1.82,0.400735,0.3781,0.0219282
1.82,0.5012,0.403016,0.0203506
1.82,0.60062,0.351863,0.0202089
1.82,0.699387,0.284136,0.0205811
1.82,0.796991,0.299618,0.0230353
1.84,-0.62426,0.229196,0.0504607
1.84,-0.443333,0.147063,0.0359507
1.84,-0.298236,0.12117,0.0438422
1.84,-0.19876,0.191119,0.0407146
1.84,-0.0980489,0.24212,0.0354926
1.84,0.000946989,0.261841,0.0331469
1.84,0.0990526,0.319341,0.0314791
1.84,0.202348,0.309169,0.0301421
1.84,0.299382,0.418859,0.0275219
1.84,0.401057,0.375882,0.0271925
1.84,0.500988,0.369912,0.0252129
1.84,0.5998,0.395387,0.0246651
1.84,0.699206,0.320779,0.0246587
1.84,0.795991,0.320315,0.0273318
1.86,-0.632434,0.25766,0.0375936
1.86,-0.443388,0.210192,0.0297196
1.86,-0.298682,0.189245,0.0368487
1.86,-0.197836,0.188136,0.0320961
1.86,-0.0989531,0.20514,0.0303318
1.86,0.00179948,0.281956,0.0272095
1.86,0.0997638,0.252605,0.0264568
1.86,0.202326,0.278678,0.0251556
1.86,0.300296,0.279311,0.023316
1.86,0.401939,0.371435,0.0220759
1.86,0.501077,0.347436,0.0209526
1.86,0.60064,0.349567,0.0202845
1.86,0.699741,0.335693,0.0199656
1.86,0.796919,0.302159,0.0222579
1.88,-0.696066,0.226864,0.0431341
1.88,-0.597944,0.201926,0.0367972
1.88,-0.498902,0.19247,0.0346893
1.88,-0.399686,0.210293,0.0314408
1.88,-0.297778,0.211211,0.0297086
1.88,-0.199199,0.172595,0.0268641
1.88,-0.0986552,0.251906,0.0251093
1.88,0.00154811,0.255528,0.0226871
1.88,0.0988704,0.270201,0.0225448
1.88,0.202265,0.310202,0.0210223
1.88,0.300825,0.321077,0.019687
1.88,0.401305,0.314604,0.018981
1.88,0.500419,0.335883,0.0175876
1.88,0.60017,0.295945,0.0167552
1.88,0.699538,0.354024,0.0167687
1.88,0.796356,0.264502,0.018461
1.9,-0.696766,0.196721,0.0368651
1.9,-0.599068,0.342668,0.0315044
1.9,-0.498456,0.244629,0.0310104
1.9,-0.399625,0.271558,0.0296191
1.9,-0.299201,0.245016,0.0279057
1.9,-0.199121,0.230568,0.0261911
1.9,-0.0982738,0.253003,0.024467
1.9,0.00151407,0.24849,0.0230168
1.9,0.0995456,0.267347,0.0223902
1.9,0.202072,0.268469,0.0203677
1.9,0.300166,0.31444,0.018889
1.9,0.401077,0.346214,0.0181464
1.9,0.500577,0.321766,0.0166077
1.9,0.600282,0.347372,0.0157407
1.9,0.699403,0.306545,0.0157108
1.9,0.796994,0.323753,0.0167231
1.92,-0.696772,0.437894,0.0423154
1.92,-0.598138,0.413874,0.0383575
1.92,-0.499018,0.348034,0.0400862
1.92,-0.398027,0.313496,0.0368887
1.92,-0.29805,0.275667,0.0361498
1.92,-0.197907,0.23279,0.0337281
1.92,-0.0984444,0.253257,0.030513
1.92,0.00126807,0.26781,0.0281316
1.92,0.100082,0.287886,0.0277252
1.92,0.202189,0.322556,0.0246183
1.92,0.299779,0.324996,0.022533
1.92,0.401326,0.345827,0.0214487
1.92,0.500861,0.360328,0.0195724
1.92,0.600835,0.343058,0.0186378
1.92,0.699764,0.299833,0.0183662
1.92,0.79694,0.307336,0.0195227
1.94,-0.642182,0.517043,0.0370308
1.94,-0.447604,0.428768,0.0358839
1.94,-0.300205,0.358557,0.0483487
1.94,-0.19863,0.265514,0.0457499
1.94,-0.0978385,0.268237,0.0409943
1.94,0.00189217,0.350836,0.0367053
1.94,0.102653,0.388456,0.0348705
1.94,0.200699,0.379791,0.0307148
1.94,0.300147,0.43057,0.0291303
1.94,0.400494,0.357697,0.0275617
1.94,0.501182,0.382855,0.0254627
1.94,0.600953,0.397184,0.0236078
1.94,0.699976,0.41429,0.0235382
1.94,0.797925,0.390749,0.0251353
1.96,-0.696402,0.536854,0.0492569
1.96,-0.599865,0.574021,0.0441876
1.96,-0.499086,0.57625,0.0474829
1.96,-0.400043,0.565586,0.0465974
1.96,-0.298669,0.458265,0.0461408
1.96,-0.198726,0.366703,0.0426311
1.96,-0.0988701,0.42837,0.037447
1.96,0.00105017,0.386001,0.0336306
1.96,0.101969,0.436304,0.0321251
1.96,0.202043,0.431328,0.0272763
1.96,0.300319,0.442383,0.0252988
1.96,0.401405,0.461117,0.0241229
1.96,0.501501,0.45058,0.0220071
1.96,0.600518,0.421105,0.0205776
1.96,0.700011,0.383254,0.0204215
1.96,0.798455,0.399398,0.0215203
1.98,-0.696077,0.671778,0.0422526
1.98,-0.601787,0.689562,0.0410689
1.98,-0.499371,0.789466,0.0422011
1.98,-0.398862,0.633045,0.0443246
1.98,-0.298745,0.561896,0.0421891
1.98,-0.19692,0.411351,0.0373133
1.98,-0.098358,0.43836,0.0364443
1.98,0.00147735,0.559659,0.0297743
