W,Q2,eps,phi,cos_th,cs,dcs
1.63,1.8,0.8695,-157.5,-0.775,68.896,9.857
1.63,1.8,0.8695,-112.5,-0.775,70.042,11.205
1.63,1.8,0.8695,-67.5,-0.775,92.99,16.987
1.63,1.8,0.8695,-22.5,-0.775,89.746,15.395
1.63,1.8,0.8695,22.5,-0.775,73.361,13.816
1.63,1.8,0.8695,67.5,-0.775,84.349,16.123
1.63,1.8,0.8695,112.5,-0.775,60.328,10.356
1.63,1.8,0.8695,157.5,-0.775,88.047,11.216
1.63,1.8,0.8695,-157.5,-0.525,64.188,8.88
1.63,1.8,0.8695,-112.5,-0.525,101.168,13.05
1.63,1.8,0.8695,-67.5,-0.525,78.774,16.651
1.63,1.8,0.8695,-22.5,-0.525,75.597,14.398
1.63,1.8,0.8695,22.5,-0.525,54.045,12.081
1.63,1.8,0.8695,67.5,-0.525,63.733,14.876
1.63,1.8,0.8695,112.5,-0.525,63.386,10.179
1.63,1.8,0.8695,157.5,-0.525,43.342,7.25
1.63,1.8,0.8695,-157.5,-0.3,48.508,8.554
1.63,1.8,0.8695,-112.5,-0.3,60.772,11.181
1.63,1.8,0.8695,-67.5,-0.3,56.961,16.31
1.63,1.8,0.8695,-22.5,-0.3,53.638,12.644
1.63,1.8,0.8695,22.5,-0.3,67.765,14.272
1.63,1.8,0.8695,67.5,-0.3,53.124,15.73
1.63,1.8,0.8695,112.5,-0.3,38.11,8.785
1.63,1.8,0.8695,157.5,-0.3,37.911,7.541
1.63,1.8,0.8695,-157.5,-0.1,54.819,9.069
1.63,1.8,0.8695,-112.5,-0.1,47.552,9.446
1.63,1.8,0.8695,-67.5,-0.1,40.99,13.744
1.63,1.8,0.8695,-22.5,-0.1,91.181,15.147
1.63,1.8,0.8695,22.5,-0.1,40.511,9.94
1.63,1.8,0.8695,67.5,-0.1,95.886,21.404
1.63,1.8,0.8695,112.5,-0.1,51.083,9.801
1.63,1.8,0.8695,157.5,-0.1,74.584,10.631
1.63,1.8,0.8695,-157.5,0.1,51.048,8.645
1.63,1.8,0.8695,-112.5,0.1,37.819,8.255
1.63,1.8,0.8695,-67.5,0.1,57.583,16.103
1.63,1.8,0.8695,-22.5,0.1,47.517,9.906
1.63,1.8,0.8695,22.5,0.1,34.373,8.394
1.63,1.8,0.8695,67.5,0.1,18.437,9.012
1.63,1.8,0.8695,112.5,0.1,35.474,7.99
1.63,1.8,0.8695,157.5,0.1,47.856,8.364
1.63,1.8,0.8695,-157.5,0.3,69.138,10.081
1.63,1.8,0.8695,-112.5,0.3,57.17,9.493
1.63,1.8,0.8695,-67.5,0.3,70.538,15.979
1.63,1.8,0.8695,-22.5,0.3,49.415,9.67
1.63,1.8,0.8695,22.5,0.3,51.803,9.908
1.63,1.8,0.8695,67.5,0.3,81.611,17.247
1.63,1.8,0.8695,112.5,0.3,60.752,9.794
1.63,1.8,0.8695,157.5,0.3,74.867,10.504
1.63,1.8,0.8695,-157.5,0.5,58.605,9.538
1.63,1.8,0.8695,-112.5,0.5,73.09,11.992
1.63,1.8,0.8695,-67.5,0.5,49.41,13.429
1.63,1.8,0.8695,-22.5,0.5,35.007,8.295
1.63,1.8,0.8695,22.5,0.5,34.919,8.285
1.63,1.8,0.8695,67.5,0.5,80.1,17.213
1.63,1.8,0.8695,112.5,0.5,60.839,10.915
1.63,1.8,0.8695,157.5,0.5,64.072,9.981
1.63,1.8,0.8695,-157.5,0.675,55.723,10.453
1.63,1.8,0.8695,-112.5,0.675,59.517,13.093
1.63,1.8,0.8695,-67.5,0.675,59.933,16.31
1.63,1.8,0.8695,-22.5,0.675,46.269,11.308
1.63,1.8,0.8695,22.5,0.675,42.94,10.886
1.63,1.8,0.8695,67.5,0.675,78.874,18.789
1.63,1.8,0.8695,112.5,0.675,47.906,11.722
1.63,1.8,0.8695,157.5,0.675,50.991,9.993
1.63,1.8,0.8695,-157.5,0.825,84.26,13.6
1.63,1.8,0.8695,-112.5,0.825,61.661,14.565
1.63,1.8,0.8695,-67.5,0.825,79.965,19.666
1.63,1.8,0.8695,-22.5,0.825,90.528,17.317
1.63,1.8,0.8695,22.5,0.825,71.301,15.31
1.63,1.8,0.8695,67.5,0.825,104.109,22.543
1.63,1.8,0.8695,112.5,0.825,60.101,14.376
1.63,1.8,0.8695,157.5,0.825,54.614,10.903
1.63,1.8,0.8695,-157.5,0.95,73.525,19.655
1.63,1.8,0.8695,-112.5,0.95,54.089,19.802
1.63,1.8,0.8695,-67.5,0.95,68.379,24.256
1.63,1.8,0.8695,-22.5,0.95,64.097,22.885
1.63,1.8,0.8695,22.5,0.95,77.598,25.227
1.63,1.8,0.8695,67.5,0.95,62.454,23.161
1.63,1.8,0.8695,112.5,0.95,68.814,22.377
1.63,1.8,0.8695,157.5,0.95,67.47,18.813
1.675,1.8,0.8601,-157.5,-0.775,85.074,9.18
1.675,1.8,0.8601,-112.5,-0.775,91.689,12.113
1.675,1.8,0.8601,-67.5,-0.775,104.091,14.988
1.675,1.8,0.8601,-22.5,-0.775,95.273,15.305
1.675,1.8,0.8601,22.5,-0.775,79.782,13.903
1.675,1.8,0.8601,67.5,-0.775,94.571,14.213
1.675,1.8,0.8601,112.5,-0.775,86.037,11.705
1.675,1.8,0.8601,157.5,-0.775,106.012,10.326
1.675,1.8,0.8601,-157.5,-0.525,82.37,8.069
1.675,1.8,0.8601,-112.5,-0.525,90.661,11.531
1.675,1.8,0.8601,-67.5,-0.525,92.824,10.987
1.675,1.8,0.8601,-22.5,-0.525,90.404,14.865
1.675,1.8,0.8601,22.5,-0.525,68.507,12.812
1.675,1.8,0.8601,67.5,-0.525,87.406,10.636
1.675,1.8,0.8601,112.5,-0.525,77.834,10.642
1.675,1.8,0.8601,157.5,-0.525,88.764,8.389
1.675,1.8,0.8601,-157.5,-0.3,75.812,8.007
1.675,1.8,0.8601,-112.5,-0.3,74.16,10.759
1.675,1.8,0.8601,-67.5,-0.3,87.809,11.151
1.675,1.8,0.8601,-22.5,-0.3,84.237,13.86
1.675,1.8,0.8601,22.5,-0.3,88.204,14.2
1.675,1.8,0.8601,67.5,-0.3,100.957,12.021
1.675,1.8,0.8601,112.5,-0.3,93.396,12.143
1.675,1.8,0.8601,157.5,-0.3,78.852,8.172
1.675,1.8,0.8601,-157.5,-0.1,101.568,9.471
1.675,1.8,0.8601,-112.5,-0.1,92.794,12.323
1.675,1.8,0.8601,-67.5,-0.1,67.01,10.792
1.675,1.8,0.8601,-22.5,-0.1,81.522,13.275
1.675,1.8,0.8601,22.5,-0.1,60.063,11.332
1.675,1.8,0.8601,67.5,-0.1,101.249,13.427
1.675,1.8,0.8601,112.5,-0.1,61.997,9.991
1.675,1.8,0.8601,157.5,-0.1,95.021,9.149
1.675,1.8,0.8601,-157.5,0.1,108.336,9.779
1.675,1.8,0.8601,-112.5,0.1,96.94,11.981
1.675,1.8,0.8601,-67.5,0.1,116.62,17.419
1.675,1.8,0.8601,-22.5,0.1,47.467,9.574
1.675,1.8,0.8601,22.5,0.1,70.26,11.703
1.675,1.8,0.8601,67.5,0.1,98.51,15.935
1.675,1.8,0.8601,112.5,0.1,93.203,11.739
1.675,1.8,0.8601,157.5,0.1,99.696,9.367
1.675,1.8,0.8601,-157.5,0.3,101.626,9.51
1.675,1.8,0.8601,-112.5,0.3,105.196,11.054
1.675,1.8,0.8601,-67.5,0.3,111.542,21.61
1.675,1.8,0.8601,-22.5,0.3,75.041,10.627
1.675,1.8,0.8601,22.5,0.3,57.362,9.258
1.675,1.8,0.8601,67.5,0.3,98.041,20.185
1.675,1.8,0.8601,112.5,0.3,93.603,10.402
1.675,1.8,0.8601,157.5,0.3,113.476,10.065
1.675,1.8,0.8601,-157.5,0.5,139.303,10.351
1.675,1.8,0.8601,-112.5,0.5,115.086,10.656
1.675,1.8,0.8601,-67.5,0.5,96.616,15.769
1.675,1.8,0.8601,-22.5,0.5,93.968,10.003
1.675,1.8,0.8601,22.5,0.5,93.232,9.963
1.675,1.8,0.8601,67.5,0.5,120.003,17.679
1.675,1.8,0.8601,112.5,0.5,109.751,10.396
1.675,1.8,0.8601,157.5,0.5,139.473,10.357
1.675,1.8,0.8601,-157.5,0.675,183.677,13.28
1.675,1.8,0.8601,-112.5,0.675,172.956,15.342
1.675,1.8,0.8601,-67.5,0.675,148.02,17.285
1.675,1.8,0.8601,-22.5,0.675,137.681,12.487
1.675,1.8,0.8601,22.5,0.675,114.972,11.357
1.675,1.8,0.8601,67.5,0.675,192.449,19.879
1.675,1.8,0.8601,112.5,0.675,153.315,14.396
1.675,1.8,0.8601,157.5,0.675,178.561,13.085
1.675,1.8,0.8601,-157.5,0.825,194.826,14.168
1.675,1.8,0.8601,-112.5,0.825,187.373,16.904
1.675,1.8,0.8601,-67.5,0.825,186.917,16.948
1.675,1.8,0.8601,-22.5,0.825,175.142,13.668
1.675,1.8,0.8601,22.5,0.825,147.567,12.481
1.675,1.8,0.8601,67.5,0.825,204.112,17.766
1.675,1.8,0.8601,112.5,0.825,188.329,16.95
1.675,1.8,0.8601,157.5,0.825,176.754,13.469
1.675,1.8,0.8601,-157.5,0.95,237.983,22.146
1.675,1.8,0.8601,-112.5,0.95,286.613,28.051
1.675,1.8,0.8601,-67.5,0.95,240.962,24.402
1.675,1.8,0.8601,-22.5,0.95,262.377,23.165
1.675,1.8,0.8601,22.5,0.95,223.862,21.248
1.675,1.8,0.8601,67.5,0.95,218.679,23.164
1.675,1.8,0.8601,112.5,0.95,255.203,26.351
1.675,1.8,0.8601,157.5,0.95,249.474,22.71
1.725,1.8,0.8493,-157.5,-0.775,63.624,7.663
1.725,1.8,0.8493,-112.5,-0.775,58.833,9.564
1.725,1.8,0.8493,-67.5,-0.775,66.881,9.339
1.725,1.8,0.8493,-22.5,-0.775,62.453,13.272
1.725,1.8,0.8493,22.5,-0.775,74.568,14.598
1.725,1.8,0.8493,67.5,-0.775,70.155,9.583
1.725,1.8,0.8493,112.5,-0.775,50.94,8.868
1.725,1.8,0.8493,157.5,-0.775,51.476,6.863
1.725,1.8,0.8493,-157.5,-0.525,48.937,5.838
1.725,1.8,0.8493,-112.5,-0.525,59.562,8.38
1.725,1.8,0.8493,-67.5,-0.525,44.954,5.678
1.725,1.8,0.8493,-22.5,-0.525,45.011,8.652
1.725,1.8,0.8493,22.5,-0.525,31.677,7.207
1.725,1.8,0.8493,67.5,-0.525,59.666,6.601
1.725,1.8,0.8493,112.5,-0.525,73.718,9.384
1.725,1.8,0.8493,157.5,-0.525,41.669,5.373
1.725,1.8,0.8493,-157.5,-0.3,72.766,7.293
1.725,1.8,0.8493,-112.5,-0.3,76.262,10.05
1.725,1.8,0.8493,-67.5,-0.3,63.882,7.128
1.725,1.8,0.8493,-22.5,-0.3,32.008,6.842
1.725,1.8,0.8493,22.5,-0.3,36.812,7.351
1.725,1.8,0.8493,67.5,-0.3,62.84,7.066
1.725,1.8,0.8493,112.5,-0.3,99.924,11.595
1.725,1.8,0.8493,157.5,-0.3,77.474,7.537
1.725,1.8,0.8493,-157.5,-0.1,102.874,8.476
1.725,1.8,0.8493,-112.5,-0.1,82.099,10.555
1.725,1.8,0.8493,-67.5,-0.1,74.029,7.757
1.725,1.8,0.8493,-22.5,-0.1,42.066,8.056
1.725,1.8,0.8493,22.5,-0.1,63.037,9.919
1.725,1.8,0.8493,67.5,-0.1,54.168,6.584
1.725,1.8,0.8493,112.5,-0.1,79.077,10.349
1.725,1.8,0.8493,157.5,-0.1,91.063,7.95
1.725,1.8,0.8493,-157.5,0.1,131.466,9.411
1.725,1.8,0.8493,-112.5,0.1,129.571,13.566
1.725,1.8,0.8493,-67.5,0.1,105.654,9.597
1.725,1.8,0.8493,-22.5,0.1,78.021,11.34
1.725,1.8,0.8493,22.5,0.1,62.806,10.142
1.725,1.8,0.8493,67.5,0.1,90.768,8.851
1.725,1.8,0.8493,112.5,0.1,100.976,11.894
1.725,1.8,0.8493,157.5,0.1,133.028,9.47
1.725,1.8,0.8493,-157.5,0.3,155.125,10.712
1.725,1.8,0.8493,-112.5,0.3,124.852,12.417
1.725,1.8,0.8493,-67.5,0.3,133.51,13.084
1.725,1.8,0.8493,-22.5,0.3,85.749,13.742
1.725,1.8,0.8493,22.5,0.3,99.744,14.856
1.725,1.8,0.8493,67.5,0.3,128.508,12.821
1.725,1.8,0.8493,112.5,0.3,111.012,11.678
1.725,1.8,0.8493,157.5,0.3,176.144,11.451
1.725,1.8,0.8493,-157.5,0.5,224.904,11.748
1.725,1.8,0.8493,-112.5,0.5,169.141,12.685
1.725,1.8,0.8493,-67.5,0.5,162.092,23.803
1.725,1.8,0.8493,-22.5,0.5,154.919,15.443
1.725,1.8,0.8493,22.5,0.5,138.214,14.543
1.725,1.8,0.8493,67.5,0.5,255.487,30.617
1.725,1.8,0.8493,112.5,0.5,165.364,12.535
1.725,1.8,0.8493,157.5,0.5,203.582,11.146
1.725,1.8,0.8493,-157.5,0.675,252.269,13.729
1.725,1.8,0.8493,-112.5,0.675,252.901,16.889
1.725,1.8,0.8493,-67.5,0.675,249.306,24.975
1.725,1.8,0.8493,-22.5,0.675,183.197,13.776
1.725,1.8,0.8493,22.5,0.675,170.465,13.262
1.725,1.8,0.8493,67.5,0.675,236.87,24.28
1.725,1.8,0.8493,112.5,0.675,257.691,17.06
1.725,1.8,0.8493,157.5,0.675,234.766,13.217
1.725,1.8,0.8493,-157.5,0.825,311.972,15.849
1.725,1.8,0.8493,-112.5,0.825,303.034,18.366
1.725,1.8,0.8493,-67.5,0.825,289.818,17.22
1.725,1.8,0.8493,-22.5,0.825,270.136,14.646
1.725,1.8,0.8493,22.5,0.825,249.043,14.012
1.725,1.8,0.8493,67.5,0.825,269.579,16.548
1.725,1.8,0.8493,112.5,0.825,300.637,18.287
1.725,1.8,0.8493,157.5,0.825,303.588,15.621
1.725,1.8,0.8493,-157.5,0.95,310.458,22.532
1.725,1.8,0.8493,-112.5,0.95,413.482,30.051
1.725,1.8,0.8493,-67.5,0.95,330.224,24.467
1.725,1.8,0.8493,-22.5,0.95,353.136,22.042
1.725,1.8,0.8493,22.5,0.95,370.293,22.631
1.725,1.8,0.8493,67.5,0.95,335.09,24.665
1.725,1.8,0.8493,112.5,0.95,390.083,29.119
1.725,1.8,0.8493,157.5,0.95,413.875,26.288
1.775,1.8,0.838,-157.5,-0.775,17.811,3.784
