W,Q2,eps,cos_th,Su,dSu,Slt,dSlt,Stt,dStt
1.65,1,0.859,-0.6,63.5,10.7521,-30.434,10.9715,-7.55,15.1873
1.65,1,0.859,-0.25,68.82,11.7077,-9.73,12.3504,-9.22,17.0141
1.65,1,0.859,0.05,68.67,11.3984,-12.671,10.9141,-4.58,15.5497
1.65,1,0.859,0.35,73.37,12.5418,-25.428,12.2382,8.55,16.5553
1.65,1,0.859,0.65,84.33,13.3696,-31.919,12.4724,-5.28,17.0971
1.65,1,0.859,0.9,104,16.2037,-18.88,15.4517,6.65,20.2002
1.75,1,0.828,-0.6,51.47,7.49001,-0.693,8.05383,-16.33,11.4002
1.75,1,0.828,-0.25,67.58,8.67021,-31.212,8.38998,-12.03,12.3282
1.75,1,0.828,0.05,108.95,13.0226,-57.686,12.1334,-42.88,17.5035
1.75,1,0.828,0.35,149.1,17.295,-46.938,15.9268,-24.83,22.817
1.75,1,0.828,0.65,201.79,24.1735,-62.805,21.6757,-0.2,31.5545
1.75,1,0.828,0.9,299.24,33.7857,-46.867,29.8428,5.65,41.7559
1.85,1,0.788,-0.25,65.19,7.67991,-19.29,7.44774,-7.24,11.3113
1.85,1,0.788,0.05,91.44,10.2224,-40.475,9.53058,2.57,14.4291
1.85,1,0.788,0.35,121.85,13.2325,-37.972,11.9847,-28.03,17.926
1.85,1,0.788,0.65,152.78,16.8011,-33.8,15.3789,-14.1,23.8663
1.85,1,0.788,0.9,226.41,24.0938,-21.029,20.3312,14.38,31.1761
1.95,1,0.742,-0.6,32.43,7.35371,2.447,10.302,0.99,12.7485
1.95,1,0.742,-0.25,36.33,4.75643,-7.453,5.14298,-13.11,7.90153
1.95,1,0.742,0.05,63.56,7.13417,-28.468,6.42774,-25.56,10.2517
1.95,1,0.742,0.35,85.36,9.40143,-44.618,8.23921,-44.12,12.3728
1.95,1,0.742,0.65,125.87,14.0622,-32.569,14.0812,-41.5,21.1537
1.95,1,0.742,0.9,215.6,23.5441,-21.85,20.3005,13.11,31.7072
2.05,1,0.685,-0.25,21.17,3.06759,-11.625,3.67989,-3.66,5.77838
2.05,1,0.685,0.05,46.38,5.3717,-10.31,5.28391,-10.1,8.36143
2.05,1,0.685,0.35,62.02,7.30509,-26.941,7.37687,-35.53,10.7304
2.05,1,0.685,0.65,104.03,12.0444,-29.882,13.1838,-25.1,18.9824
2.05,1,0.685,0.9,189.89,21.92,-9.009,20.2144,-21.38,31.5699
2.15,1,0.617,-0.25,12.25,2.07112,-7.934,2.84699,0.8,4.35556
2.15,1,0.617,0.05,29.44,3.63374,-11.257,3.94756,0.05,6.52005
2.15,1,0.617,0.35,42,5.33518,-7.495,6.12321,-30.99,9.13597
2.15,1,0.617,0.65,85.27,10.7828,-15.344,13.6619,-20.47,18.6481
2.15,1,0.617,0.9,138.05,18.9146,-66.793,23.2663,-31.09,36.336
2.25,1,0.537,-0.6,3.62,1.97349,-1.584,3.49103,3.64,4.29204
2.25,1,0.537,-0.25,5.37,1.36966,-3.026,2.1925,-0.09,3.63753
2.25,1,0.537,0.05,15.39,2.30057,-7.34,3.24097,0.57,5.42408
2.25,1,0.537,0.35,29.05,3.94562,-16.532,5.01233,-3.9,8.01752
2.25,1,0.537,0.65,51.99,7.3109,-20.365,10.3477,-44.53,14.6453
2.25,1,0.537,0.9,146.57,21.9579,-7.311,32.9976,33,44.9352
2.35,1,0.444,-0.6,3.2,2.97725,-1.188,6.10037,-0.85,6.30171
2.35,1,0.444,-0.25,4.86,1.30395,-5.968,2.4777,2.44,4.5178
2.35,1,0.444,0.05,9.65,1.7836,-3.734,3.15103,1.68,5.42503
2.35,1,0.444,0.35,18.47,3.00471,-4.342,4.76014,2.62,9.03604
2.35,1,0.444,0.65,44.15,6.92106,-20.195,11.7981,-40.08,17.2916
2.35,1,0.444,0.9,109.65,24.9847,-23.165,52.0525,-2.37,63.7624
1.65,1.55,0.784,-0.6,44.56,6.57864,0.99,8.37548,-3.99,12.7992
1.65,1.55,0.784,-0.25,43.03,5.8817,-9.744,6.49026,4.62,10.4412
1.65,1.55,0.784,0.05,43.64,6.03969,-7.566,6.84171,1.13,10.6138
1.65,1.55,0.784,0.35,44.36,6.07658,-13.435,6.08209,6.35,10.5149
1.65,1.55,0.784,0.65,65.82,7.24368,-19.007,6.52273,6.51,11.4766
1.65,1.55,0.784,0.9,80.36,8.93898,-15.684,8.24292,-12.16,13.8785
1.75,1.55,0.744,-0.6,44.06,5.40567,1.867,6.28875,-12.73,9.69771
1.75,1.55,0.744,-0.25,49.44,5.55546,-16.928,6.10184,-18.62,9.90283
1.75,1.55,0.744,0.05,78.93,7.92975,-28.779,7.80043,-2.37,12.8385
1.75,1.55,0.744,0.35,108.21,10.6138,-33.941,10.3217,-9.59,17.0539
1.75,1.55,0.744,0.65,163.22,15.8637,-30.024,13.7831,4.83,23.1201
1.75,1.55,0.744,0.9,222.42,20.1699,-24.607,16.6966,5.57,28.4051
1.85,1.55,0.696,-0.6,25.66,5.3806,2.56,8.52665,-15.75,11.8973
1.85,1.55,0.696,-0.25,47.11,5.07037,-20.676,5.4475,2.8,8.6133
1.85,1.55,0.696,0.05,63.44,6.43661,-36.911,6.89135,-21.84,11.1685
1.85,1.55,0.696,0.35,88.94,8.38184,-39.174,7.81307,-32.3,13.0745
1.85,1.55,0.696,0.65,114.3,11.2068,-47.687,10.3937,-36.88,17.5253
1.85,1.55,0.696,0.9,179.13,16.3593,-16.787,13.7704,14.5,23.5507
1.95,1.55,0.639,-0.6,19.24,4.82851,0.297,7.88571,-2.79,9.89074
1.95,1.55,0.639,-0.25,27.15,3.39135,-16.815,4.3522,3.57,6.74112
1.95,1.55,0.639,0.05,42.19,4.43718,-18.455,4.60624,-19.91,7.97079
1.95,1.55,0.639,0.35,61.26,6.21209,-28.793,6.53609,-32.33,10.3045
1.95,1.55,0.639,0.65,94,9.6629,-12.36,11.1141,3.69,17.3502
1.95,1.55,0.639,0.9,150.25,14.4761,-33.276,12.951,-10.74,22.558
2.05,1.55,0.572,-0.25,12.4,1.90917,-6.251,2.8117,-1.13,4.628
2.05,1.55,0.572,0.05,33.58,3.55275,-12.077,3.93927,-4.16,6.97668
2.05,1.55,0.572,0.35,46.98,5.4646,-14.878,7.34109,-24.9,10.7172
2.05,1.55,0.572,0.65,74.27,7.79894,-12.756,9.72728,-12.74,15.583
2.05,1.55,0.572,0.9,154.64,15.6675,2.234,16.356,-1.94,26.644
2.15,1.55,0.493,-0.25,7.78,1.52692,-6.916,2.73134,2.28,4.49916
2.15,1.55,0.493,0.05,18.12,2.30426,-6.817,3.26132,-4.43,5.82836
2.15,1.55,0.493,0.35,29.12,3.93315,-14.241,6.13569,-19.31,9.73216
2.15,1.55,0.493,0.65,61.71,7.47091,3.069,11.7489,-6.83,17.0468
2.15,1.55,0.493,0.9,121.32,13.7965,-48.847,15.9391,-62.51,28.0662
2.25,1.55,0.465,-0.25,4.57,1.0432,-3.041,2.04239,5.74,3.64358
2.25,1.55,0.465,0.05,9.62,1.57337,-10.366,2.78182,-4.76,5.3322
2.25,1.55,0.465,0.35,17.99,2.71037,-9.037,4.81625,-11.73,8.83625
2.25,1.55,0.465,0.65,45.85,7.34137,-17.112,14.9056,4.61,21.3521
2.25,1.55,0.465,0.9,85.37,18.9586,-75.279,41.1391,-51.28,54.811
2.35,1.55,0.301,-0.25,3.99,0.941665,-2.376,2.23419,6.18,4.34144
2.35,1.55,0.301,0.05,6.64,1.27812,-6.095,2.90132,-3.59,5.9732
2.35,1.55,0.301,0.35,13.42,2.11539,-5.869,4.39508,-5.28,9.32334
2.35,1.55,0.301,0.65,33,4.51983,-25.739,9.45246,-46.88,17.3402
1.65,2.05,0.703,-0.6,26.53,4.082,2.517,5.33175,4.55,8.22519
1.65,2.05,0.703,-0.25,31.29,4.60398,-2.234,5.48544,-2.74,9.08211
1.65,2.05,0.703,0.05,36.16,5.31372,-5.261,6.70581,1.12,10.2529
1.65,2.05,0.703,0.35,34.63,4.95398,-4.398,5.77404,0.36,8.76771
1.65,2.05,0.703,0.65,44.61,5.67357,-10.72,5.72875,-6.19,9.70095
1.65,2.05,0.703,0.9,57.26,6.8377,-2.814,6.76928,-1.77,12.0653
1.75,2.05,0.656,-0.6,30.9,4.10482,5.926,5.3451,-17.42,8.48392
