cos_th,Q2,r_LT,dr_LT,r_TT,dr_TT
-0.7,1.8,0.107076,0.317114,-0.230517,0.559581
-0.7,2.6,1.48714,0.912893,-5.83575,2.35859
-0.7,3.45,5.01627,3.71851,-29.222,15.7436
-0.6,0.65,0.0105497,0.371103,-1.52098,0.806697
-0.6,1,-0.0696013,1.29604,-0.240428,1.94183
-0.6,1.55,0.0321175,1.69479,-0.84858,2.80985
-0.6,2.05,-0.516208,2.5804,0.910109,2.89373
-0.6,2.55,-1.3643,2.34269,0.616867,2.22243
-0.5,0,0,0,-0.620309,0.0394184
-0.5,1.8,0.155179,0.327225,0.204727,0.551951
-0.5,2.6,0.288589,0.499502,-0.368559,0.88624
-0.5,3.45,-0.20307,0.765568,-0.764871,1.82046
-0.4,0,0,0,-0.677895,0.0307585
-0.3,1.8,-0.182784,0.492009,0.0701824,0.85271
-0.3,2.6,-0.347966,0.63257,-0.0920144,1.06125
-0.3,3.45,-0.413538,0.954407,0.788129,2.88357
-0.2,0,0,0,-0.512807,0.0301313
-0.2,0.65,0.132205,0.189617,-1.08032,0.409217
-0.2,1,-0.1975,0.527974,-0.174535,1.16777
-0.2,1.55,0.0898918,0.517797,-0.0550623,0.959192
-0.2,2.05,0.22674,1.25802,-0.742806,2.65359
-0.2,2.55,-1.59156,1.54314,2.59389,2.92944
-0.1,0,0,0,-0.145614,0.0282724
-0.1,1.8,-0.316593,0.629019,0.0836217,1.0961
-0.1,2.6,-0.459682,0.934882,1.24082,2.63006
-0.1,3.45,0.915485,1.56164,-2.47345,5.83998
-1.38778E-16,0,0,0,-0.39014,0.0233501
-1.38778E-16,0.65,-0.126431,0.140594,-0.931655,0.301341
-1.38778E-16,1,0.286243,0.413981,0.706198,0.892961
-1.38778E-16,1.55,-0.129102,0.602257,0.96548,1.20812
-1.38778E-16,2.05,-0.574369,0.626423,0.358821,1.24058
-1.38778E-16,2.55,-0.25722,0.857104,-0.0193471,1.8551
0.1,0,0,0,-0.186347,0.0344774
0.1,1.8,-0.284463,0.926468,0.181127,1.62324
0.1,2.6,-0.206638,1.43999,0.107287,2.75558
0.1,3.45,-10.8101,22.4567,-0.18819,5.02757
0.2,0,0,0,-0.176126,0.0317715
0.3,0,0,0,-0.14654,0.0302212
0.3,0.65,-0.143671,0.155641,-0.350064,0.310276
0.3,1,-0.403446,0.475033,0.0414583,0.962261
0.3,1.55,-0.11589,0.544363,0.330702,0.977583
0.3,1.8,-0.275993,0.32858,0.00451397,0.553729
0.3,2.05,-0.37932,0.891328,-0.388888,1.72277
0.3,2.55,0.924535,0.865054,0.653963,1.73605
0.3,2.6,-0.373489,0.478094,0.0792528,0.853579
0.3,3.45,0.590611,0.968036,-0.159999,1.81307
0.4,0,0,0,-0.206675,0.0281009
0.5,0,0,0,-0.264197,0.0255864
0.5,1.8,-0.307683,0.234894,-0.329137,0.39256
0.5,2.6,-0.321907,0.388278,-0.107043,0.64541
0.5,3.45,-0.2066,0.722722,0.0575442,1.29136
0.6,0,0,0,-0.368766,0.0232873
0.6,0.65,-0.588192,0.239199,-0.135199,0.423081
0.6,1,0.30664,0.669311,0.625862,1.24728
0.6,1.55,0.507339,0.984573,0.75925,1.39349
0.6,1.8,-0.194453,0.225631,-0.26952,0.361826
0.6,2.05,0.302561,1.02594,1.04797,2.15018
0.6,2.55,-0.175888,3.05015,0.389023,4.15601
0.6,2.6,-0.613532,0.411012,1.35559,0.788229
0.6,3.45,-2.49762,1.28027,-4.96774,2.85141
0.7,0,0,0,-0.472904,0.0237826
0.8,1.8,-0.207356,0.20558,-0.140878,0.322632
0.8,2.6,-0.18598,0.330338,-0.228763,0.521352
0.8,3.45,-0.501645,0.530627,-1.06922,1.06643
0.9,0.65,-1.00894,1.74334,-1.79709,2.4399
0.9,1,0.338974,0.949341,0.358638,1.36871
0.9,1.55,0.448319,1.17157,1.03646,1.74524
0.9,1.8,-0.219496,0.129155,-0.11281,0.23423
0.9,2.05,0.687534,0.865897,0.114678,1.29485
0.9,2.55,0.484182,0.675714,-0.13454,1.11686
0.9,2.6,-0.151349,0.199215,-0.234244,0.402971
0.9,3.45,1.05414,0.528543,-0.13442,0.932991
