cos_th,W,delta_W
-0.9,2.585,27.4634
-0.9,2.595,16.2648
-0.9,2.605,16.1906
-0.9,2.615,18.7952
-0.9,2.625,37.638
-0.9,2.635,30.851
-0.9,2.645,38.4064
-0.8,2.585,-2.46892
-0.8,2.595,-6.49287
-0.8,2.605,-6.85402
-0.8,2.615,-9.39359
-0.8,2.625,-12.0397
-0.8,2.635,-13.0752
-0.8,2.645,-13.0266
-0.5,2.585,-1.18464
-0.5,2.595,-0.744903
-0.5,2.605,-1.17572
-0.5,2.615,-3.84578
-0.5,2.625,-3.28323
-0.5,2.635,-3.88755
-0.5,2.645,-4.38087
-0.3,2.585,1.0401
-0.3,2.595,1.20976
-0.3,2.605,1.75282
-0.3,2.615,1.89771
-0.3,2.625,4.29228
-0.3,2.635,4.17147
-0.2,2.585,-0.600513
-0.2,2.595,-0.120203
-0.2,2.605,0.552412
-0.2,2.615,2.00791
-0.2,2.635,4.22162
-0.2,2.645,4.01485
-0.1,2.585,0.689684
-0.1,2.595,1.71483
-0.1,2.605,2.09887
-0.1,2.615,3.12982
-0.1,2.625,4.23117
-0.1,2.635,6.56
-0.1,2.645,7.39831
7.5287E-16,2.585,2.73233
7.5287E-16,2.595,2.0676
7.5287E-16,2.605,3.85323
7.5287E-16,2.615,4.38169
7.5287E-16,2.625,5.22913
7.5287E-16,2.635,6.70717
7.5287E-16,2.645,7.30303
0.1,2.585,0.321458
0.1,2.595,0.930777
0.1,2.605,2.79813
0.1,2.615,3.55167
0.1,2.625,3.89921
0.1,2.635,6.19198
0.1,2.645,7.86474
0.2,2.595,1.08261
0.2,2.605,0.779917
0.2,2.615,2.00514
0.2,2.625,3.19887
0.2,2.635,3.74646
0.2,2.645,4.93093
0.3,2.585,0.201021
0.3,2.595,1.01828
0.3,2.605,1.38636
0.3,2.615,1.54978
0.3,2.625,1.99202
0.3,2.635,3.57093
0.4,2.605,-0.339843
0.4,2.615,0.530657
0.4,2.635,1.07527
0.4,2.645,0.199765
0.6,2.585,-5.22111
0.6,2.595,-3.48833
0.6,2.605,-4.42765
0.6,2.615,-3.74162
0.6,2.625,-10.448
0.6,2.635,-9.57685
0.6,2.645,-9.69019
