W,Q2,eps,phi,cos_th,cs,dcs
1.695,1.8,0.8601,-157.5,-0.775,7.594,7.649
1.695,1.8,0.8601,-112.5,-0.775,8.502,7.78
1.695,1.8,0.8601,-67.5,-0.775,7.879,8.873
1.695,1.8,0.8601,-22.5,-0.775,5.993,8.02
1.695,1.8,0.8601,22.5,-0.775,14.339,12.441
1.695,1.8,0.8601,67.5,-0.775,4.959,7.033
1.695,1.8,0.8601,112.5,-0.775,7.788,7.445
1.695,1.8,0.8601,157.5,-0.775,12.553,9.849
1.695,1.8,0.8601,-157.5,-0.525,14.071,8.996
1.695,1.8,0.8601,-112.5,-0.525,13.284,9.158
1.695,1.8,0.8601,-67.5,-0.525,8.532,8.807
1.695,1.8,0.8601,-22.5,-0.525,5.175,6.724
1.695,1.8,0.8601,22.5,-0.525,2.741,4.89
1.695,1.8,0.8601,67.5,-0.525,0,0
1.695,1.8,0.8601,112.5,-0.525,10.218,8.024
1.695,1.8,0.8601,157.5,-0.525,10.97,7.936
1.695,1.8,0.8601,-157.5,-0.3,7.329,6.227
1.695,1.8,0.8601,-112.5,-0.3,8.514,6.681
1.695,1.8,0.8601,-67.5,-0.3,14.872,10.37
1.695,1.8,0.8601,-22.5,-0.3,18.146,11.615
1.695,1.8,0.8601,22.5,-0.3,4.701,5.874
1.695,1.8,0.8601,67.5,-0.3,20.708,12.269
1.695,1.8,0.8601,112.5,-0.3,13.661,8.481
1.695,1.8,0.8601,157.5,-0.3,5.241,5.261
1.695,1.8,0.8601,-157.5,-0.1,19.014,10.579
1.695,1.8,0.8601,-112.5,-0.1,3.324,4.64
1.695,1.8,0.8601,-67.5,-0.1,4.385,6.608
1.695,1.8,0.8601,-22.5,-0.1,8.373,8.046
1.695,1.8,0.8601,22.5,-0.1,18.236,11.925
1.695,1.8,0.8601,67.5,-0.1,9.429,9.71
1.695,1.8,0.8601,112.5,-0.1,6.257,6.373
1.695,1.8,0.8601,157.5,-0.1,8.183,6.916
1.695,1.8,0.8601,-157.5,0.1,7.761,7.069
1.695,1.8,0.8601,-112.5,0.1,26.808,14.245
1.695,1.8,0.8601,-67.5,0.1,7.308,9.262
1.695,1.8,0.8601,-22.5,0.1,47.844,23.16
1.695,1.8,0.8601,22.5,0.1,7.127,8.82
1.695,1.8,0.8601,67.5,0.1,20.241,15.478
1.695,1.8,0.8601,112.5,0.1,11.72,9.378
1.695,1.8,0.8601,157.5,0.1,11.269,8.526
1.695,1.8,0.8601,-157.5,0.3,13.476,8.969
1.695,1.8,0.8601,-112.5,0.3,15.301,10.637
1.695,1.8,0.8601,-67.5,0.3,13.146,11.588
1.695,1.8,0.8601,-22.5,0.3,5.573,6.721
1.695,1.8,0.8601,22.5,0.3,5.331,6.573
1.695,1.8,0.8601,67.5,0.3,19.111,13.999
1.695,1.8,0.8601,112.5,0.3,5.22,6.196
1.695,1.8,0.8601,157.5,0.3,6.231,6.088
1.695,1.8,0.8601,-157.5,0.5,7.321,7.514
1.695,1.8,0.8601,-112.5,0.5,5.809,7.151
1.695,1.8,0.8601,-67.5,0.5,9.179,10.536
1.695,1.8,0.8601,-22.5,0.5,21.945,16.7
1.695,1.8,0.8601,22.5,0.5,16.539,14.478
1.695,1.8,0.8601,67.5,0.5,15.801,13.845
1.695,1.8,0.8601,112.5,0.5,3.764,5.753
1.695,1.8,0.8601,157.5,0.5,8.486,8.092
1.695,1.8,0.8601,-157.5,0.675,3.821,11.485
1.695,1.8,0.8601,-112.5,0.675,1.685,9.192
1.695,1.8,0.8601,-67.5,0.675,4.107,14.586
1.695,1.8,0.8601,-22.5,0.675,2.43,11.309
1.695,1.8,0.8601,22.5,0.675,3.189,12.957
1.695,1.8,0.8601,67.5,0.675,6.385,18.187
1.695,1.8,0.8601,112.5,0.675,2.407,10.986
1.695,1.8,0.8601,157.5,0.675,1.785,7.849
1.695,1.8,0.8601,-157.5,0.825,0.347,11.931
1.695,1.8,0.8601,-112.5,0.825,0.133,8.24
1.695,1.8,0.8601,-67.5,0.825,0.14,8.338
1.695,1.8,0.8601,-22.5,0.825,0.54,18.758
1.695,1.8,0.8601,22.5,0.825,0.166,10.39
1.695,1.8,0.8601,67.5,0.825,0.489,15.557
1.695,1.8,0.8601,112.5,0.825,0.536,16.561
1.695,1.8,0.8601,157.5,0.825,0.166,8.253
1.695,1.8,0.8601,-157.5,0.95,8.034,16.805
1.695,1.8,0.8601,-112.5,0.95,8.738,20.588
1.695,1.8,0.8601,-67.5,0.95,5.212,15.271
1.695,1.8,0.8601,-22.5,0.95,2.196,9.806
1.695,1.8,0.8601,22.5,0.95,5.035,14.851
1.695,1.8,0.8601,67.5,0.95,7.059,17.775
1.695,1.8,0.8601,112.5,0.95,5.936,16.964
1.695,1.8,0.8601,157.5,0.95,0,0
1.725,1.8,0.8493,-157.5,-0.775,14.727,4.379
1.725,1.8,0.8493,-112.5,-0.775,17.05,5.531
1.725,1.8,0.8493,-67.5,-0.775,19.649,7.546
1.725,1.8,0.8493,-22.5,-0.775,13.32,5.918
1.725,1.8,0.8493,22.5,-0.775,15.553,6.402
1.725,1.8,0.8493,67.5,-0.775,17.515,7.116
1.725,1.8,0.8493,112.5,-0.775,19.651,5.944
1.725,1.8,0.8493,157.5,-0.775,12.181,3.979
1.725,1.8,0.8493,-157.5,-0.525,16.679,3.933
1.725,1.8,0.8493,-112.5,-0.525,28.812,6.555
1.725,1.8,0.8493,-67.5,-0.525,18.055,6.268
1.725,1.8,0.8493,-22.5,-0.525,28.833,8.292
1.725,1.8,0.8493,22.5,-0.525,15.811,6.092
1.725,1.8,0.8493,67.5,-0.525,30.494,8.206
1.725,1.8,0.8493,112.5,-0.525,33.361,7.067
1.725,1.8,0.8493,157.5,-0.525,10.904,3.174
1.725,1.8,0.8493,-157.5,-0.3,21.098,4.806
1.725,1.8,0.8493,-112.5,-0.3,23.463,6.011
1.725,1.8,0.8493,-67.5,-0.3,23.476,8.056
1.725,1.8,0.8493,-22.5,-0.3,21.147,6.931
1.725,1.8,0.8493,22.5,-0.3,15.584,5.933
1.725,1.8,0.8493,67.5,-0.3,22.324,7.851
1.725,1.8,0.8493,112.5,-0.3,22.233,5.848
1.725,1.8,0.8493,157.5,-0.3,15.399,4.098
1.725,1.8,0.8493,-157.5,-0.1,15.525,4.636
1.725,1.8,0.8493,-112.5,-0.1,20.625,6.374
