W,Q2,eps,cos_th,Su,dSu,Slt,dSlt,Stt,dStt
1.75,1,0.828,-0.6,14.96,4.81892,8.895,6.28005,9.72,8.54392
1.75,1,0.828,-0.25,18.83,4.91997,11.681,6.20619,-1.92,9.235
1.75,1,0.828,0.05,22.08,4.67407,1.471,5.09877,-9.92,8.43949
1.75,1,0.828,0.35,16.12,4.75051,1.089,5.4839,-3.46,8.53905
1.75,1,0.828,0.65,20.9,6.40118,1.089,6.35742,-1.32,10.1434
1.75,1,0.828,0.9,12.25,6.16366,1.725,6.59022,6.91,10.7037
1.85,1,0.788,-0.6,33.42,5.97256,8.712,7.0728,-17.63,10.6444
1.85,1,0.788,-0.25,61.05,8.01942,11.978,8.05545,-29.02,12.4934
1.85,1,0.788,0.05,67.27,9.08089,-6.208,10.2998,-46.76,15.116
1.85,1,0.788,0.35,59.34,8.2143,-4.497,9.1969,-20.37,13.4412
1.85,1,0.788,0.65,42.39,8.34657,-11.186,10.424,-9.72,16.3989
1.85,1,0.788,0.9,31.69,7.89401,-7.905,8.19405,1.2,14.2855
1.95,1,0.742,-0.6,17.95,7.54658,6.406,11.6012,-11.11,15.1143
1.95,1,0.742,-0.25,51.99,6.58416,6.93,6.75051,-27.71,10.56
1.95,1,0.742,0.05,66.14,7.85637,-4.653,7.57165,-15.92,11.9249
1.95,1,0.742,0.35,58.68,8.20859,-10.281,9.57391,-29.96,12.9179
1.95,1,0.742,0.65,44.6,7.96565,-15.938,10.9232,-2.25,15.8038
1.95,1,0.742,0.9,29.48,10.4447,-9.504,11.4182,18.96,19.0218
2.05,1,0.685,-0.25,19.35,3.15346,6.35,3.93709,-3.66,6.24753
2.05,1,0.685,0.05,31.34,4.35228,0.339,4.87941,-10.56,7.77069
2.05,1,0.685,0.35,31.91,5.3949,-8.103,6.96192,-5.86,9.3227
2.05,1,0.685,0.65,34.09,7.31315,-16.051,10.9791,-5.94,15.0756
2.05,1,0.685,0.9,47.63,14.5988,4.426,18.485,8.8,27.5788
2.15,1,0.617,-0.6,7.75,3.82925,-2.616,6.60516,3.1,8.70979
2.15,1,0.617,-0.25,12.69,2.23516,2.404,3.05841,-1.65,4.95957
2.15,1,0.617,0.05,21.46,3.17505,-1.711,3.84192,7.2,6.51092
2.15,1,0.617,0.35,25.05,4.29594,-9.348,5.88191,-5.24,8.52739
2.15,1,0.617,0.65,26.36,7.78957,3.635,13.4316,-7.04,17.695
2.15,1,0.617,0.9,26.42,27.1588,17.918,40.9256,20.84,51.8271
2.25,1,0.537,-0.6,7.53,3.4531,0.495,6.82862,-0.04,9.52297
2.25,1,0.537,-0.25,7.47,1.90276,2.574,3.09916,2.89,5.11909
2.25,1,0.537,0.05,14.34,2.77006,3.932,4.14972,1.65,7.16957
2.25,1,0.537,0.35,19.58,4.18614,-4.002,6.66372,-0.83,11.1308
2.25,1,0.537,0.65,25.01,6.71326,0.269,11.1136,-9.21,15.3856
2.25,1,0.537,0.9,74.19,21.6508,74.43,41.8035,84.11,57.9776
2.35,1,0.444,-0.6,4.73,3.46246,0.424,8.28165,-5.06,13.1423
2.35,1,0.444,-0.25,5.82,1.61828,-3.932,2.99244,7.77,5.38548
2.35,1,0.444,0.05,8.35,2.25992,-0.311,4.25279,0.13,7.41799
2.35,1,0.444,0.35,11.35,3.41418,1.146,6.16226,0.25,12.1069
2.35,1,0.444,0.65,27.55,7.10581,2.984,13.6146,1.55,19.8867
2.35,1,0.444,0.9,40.78,13.2054,-23.32,26.8003,-34.35,54.6495
1.75,1.55,0.744,-0.6,6.28,2.77068,1.485,3.03787,-0.38,5.92892
1.75,1.55,0.744,-0.25,13.65,3.53133,-0.792,5.42855,2.91,8.11503
1.75,1.55,0.744,0.05,11.97,3.05992,-0.184,3.69771,1.96,6.41168
1.75,1.55,0.744,0.35,13.55,3.46243,2.899,3.77479,0.53,6.61393
1.75,1.55,0.744,0.65,6.81,5.83809,0.226,5.0383,9.2,10.2065
1.75,1.55,0.744,0.9,6.51,4.43385,-0.113,5.36171,0.27,8.05076
1.85,1.55,0.696,-0.6,18.02,3.71259,-2.008,5.09216,-12.88,8.01972
1.85,1.55,0.696,-0.25,36.46,4.85723,11.215,5.97422,-11.37,9.17766
1.85,1.55,0.696,0.05,40.45,5.44128,2.362,7.14491,-23.05,10.8759
1.85,1.55,0.696,0.35,38.29,5.18747,-5.402,6.63411,-7.41,10.3794
1.85,1.55,0.696,0.65,24.52,6.81852,-16.9,9.41854,-19.72,13.2572
1.85,1.55,0.696,0.9,18.99,5.72665,-5.798,6.6564,2.21,11.4748
1.95,1.55,0.639,-0.6,19.31,5.49486,-0.255,9.56666,-8.43,13.3637
1.95,1.55,0.639,-0.25,27.73,3.62686,2.022,4.51009,-5.29,7.55862
1.95,1.55,0.639,0.05,36.75,4.61459,2.489,5.59273,-25.96,9.03811
1.95,1.55,0.639,0.35,30.84,5.48087,-11.597,8.55359,-12.72,12.0303
1.95,1.55,0.639,0.65,19.2,5.24416,-18.159,8.61336,1.6,13.4508
